@relation 'HVAC (Dummy Data) (1)-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.attribute.NumericToBinary-R11-weka.filters.unsupervised.attribute.NumericToBinary-R11-weka.filters.unsupervised.attribute.NumericToNominal-R11'

@attribute T_Supply numeric
@attribute T_Return numeric
@attribute SP_Return numeric
@attribute T_Saturation numeric
@attribute T_Outdoor numeric
@attribute RH_Supply numeric
@attribute RH_Return numeric
@attribute RH_Outdoor numeric
@attribute Energy numeric
@attribute Power numeric
@attribute Maintanance_Needs {0,1}

@data
18.125,22.049999,21.5,16.84,14.9,41.619999,25.74,44,10,5.487,1
18.205,22.01,21.5,16.9,14,41.48,24.789999,54,11,4.332,1
18.225,22.01,21.5,17.440001,13.9,41.700001,25.34,49,9,5.123,0
18.344999,22.074999,21.5,17.639999,17,41.18,25.9,44,8,4.113,1
18.475,22.73,21.5,17.299999,17.799999,39.119999,23.439999,41,12,4.613,1
18.484999,22.58,21.5,17.199999,15.7,39.049999,24.289999,50,12,5.313,1
18.545,21.889999,21.5,17.359999,16.1,40.829998,24.07,47,8,4.718,0
18.555,22.4,21.5,17.279999,15.7,38.790001,24.309999,52,11,4.551,0
18.83,22.65,21.5,17.66,19.799999,38.540001,23.82,44,11,4.126,0
18.84,22.129999,21.5,17.02,18.1,38.540001,25.629999,44,12,4.489,0
18.84,22.785,21.5,17.559999,17.799999,37.450001,23.109999,41,8,5.086,1
18.84,22.49,21.5,17.48,15.7,38.700001,24.309999,50,10,4.177,0
18.885,21.494999,21.5,18.199999,14.7,38.959999,25.41,54,9,5.197,0
18.949999,22.719999,21.5,17.66,19.9,36.709999,23.139999,41,12,5.241,1
19.02,22.699999,21.5,17.699999,20.799999,38.149998,23.91,47,8,5.371,1
19.039999,22.25,21.5,17.719999,20.9,37.040001,23.779999,38,9,4.512,0
19.135,22.59,21.5,17.859999,17.799999,36.219997,23.01,39.5,10,5.477,1
19.174999,19.445,20.5,19.359999,9.1,38.599998,29.349998,58,10,4.705,1
19.184999,19.545,20.5,19.439999,10.1,38.790001,29.309999,56,8,4.819,0
19.184999,19.465,20.5,19.379999,10.1,38.619999,29.349998,56,9,4.647,0
19.189999,19.584999,20.5,19.48,10.1,38.919998,29.279999,56,11,4.901,0
19.189999,19.574999,20.5,19.459999,10.1,38.860001,29.279999,56,10,4.756,1
19.195,19.525,20.5,19.4,9.1,38.719997,29.309999,56,12,4.893,1
19.195,20.84,21.5,18.76,14.7,39.18,26.299999,54,9,4.428,1
19.199999,22.26,21.5,17.32,24.299999,34.439999,23.389999,30,13,4.932,1
19.199999,19.484999,20.5,19.4,9.1,38.66,29.349998,56,11,4.925,1
19.199999,22.66,21.5,18,20.9,36.389999,23.059999,39.5,11,4.103,0
